#disease	pathway	Pvalue	adjPvalue
C0000744	GO_CHOLESTEROL_TRANSPORTER_ACTIVITY	2.2335888205931e-19	5.50358819963013e-15
C0000744	GO_STEROL_TRANSPORTER_ACTIVITY	3.18992421849679e-18	6.05607287194414e-14
C0000744	GO_LIPID_TRANSPORTER_ACTIVITY	4.95294407530051e-14	3.3478201695092e-10
C0000744	GO_LIPID_BINDING	2.7266199433841e-08	3.49556298819995e-05
C0000744	GO_PHOSPHOLIPID_BINDING	2.94157826197995e-08	3.72170281360285e-05
C0000744	GO_STEROL_BINDING	7.17423741731276e-08	7.86530053408753e-05
C0000744	GO_PHOSPHATIDYLCHOLINE_BINDING	6.82374383994899e-07	0.000528358212132958
C0000744	GO_STEROID_BINDING	1.25890698230173e-06	0.000901993222665225
C0000744	GO_ALCOHOL_BINDING	1.66613577713439e-06	0.0011417321933972
C0000744	GO_TRANSPORTER_ACTIVITY	3.85098025224884e-06	0.00228315550294489
C0000809	GO_CHANNEL_INHIBITOR_ACTIVITY	0.000321453321449061	0.0821124278188609
C0000809	GO_CHANNEL_REGULATOR_ACTIVITY	0.00485815657358324	0.670731428042072
C0000809	GO_ANION_TRANSMEMBRANE_TRANSPORTING_ATPASE_ACTIVITY	0.00813136072509864	0.955944812963836
C0000809	GO_TOXIC_SUBSTANCE_BINDING	0.0113672076707672	1
C0000809	GO_BICARBONATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.012981565594231	1
C0000809	GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY	0.0145935506251076	1
C0000809	GO_POLYSACCHARIDE_BINDING	0.0178104144087815	1
C0000809	GO_DYNEIN_BINDING	0.0242158034631994	1
C0000809	GO_SCAVENGER_RECEPTOR_ACTIVITY	0.0258112648702249	1
C0000809	GO_PROTEIN_PHOSPHATASE_2A_BINDING	0.0274043780920234	1
C0001197	GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY	5.00702279141865e-05	0.0202817756502542
C0001197	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	8.56853472178717e-05	0.0297692831683774
C0001197	GO_INSULIN_RECEPTOR_BINDING	0.000248613438552211	0.0674538641601446
C0001197	GO_HORMONE_ACTIVITY	0.00364319327584846	0.54581225087435
C0001197	GO_PROTEASE_BINDING	0.00545064454660207	0.726917758239589
C0001197	GO_PEPTIDOGLYCAN_BINDING	0.00975047375035964	1
C0001197	GO_INSULIN_LIKE_GROWTH_FACTOR_BINDING	0.0145935506251076	1
C0001197	GO_CYTOKINE_ACTIVITY	0.0147013413954775	1
C0001197	GO_HSP70_PROTEIN_BINDING	0.0178104144087815	1
C0001197	GO_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.0194152993525581	1
C0001206	GO_PEPTIDE_HORMONE_BINDING	0.000704165760723375	0.154252970945003
C0001206	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR	0.000822440292607025	0.175062377235125
C0001206	GO_HORMONE_BINDING	0.00228362169407702	0.387586046525513
C0001206	GO_HORMONE_ACTIVITY	0.00364319327584846	0.54581225087435
C0001206	GO_TETRAPYRROLE_BINDING	0.00429782930818699	0.61960078264428
C0001206	GO_RECEPTOR_BINDING	0.00435710608781482	0.623130200807935
C0001206	GO_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	0.00471504571321583	0.665310529583883
C0001206	GO_PROTEIN_DIMERIZATION_ACTIVITY	0.0101504333869951	1
C0001206	GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY	0.012981565594231	1
C0001206	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	0.0145935506251076	1
C0001231	GO_DIACYLGLYCEROL_BINDING	0.00488598491059136	0.670731428042072
C0001231	GO_PHOSPHATIDIC_ACID_BINDING	0.0113672076707672	1
C0001231	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	0.0129577081385444	1
C0001231	GO_LONG_CHAIN_FATTY_ACID_BINDING	0.012981565594231	1
C0001231	GO_ICOSANOID_RECEPTOR_ACTIVITY	0.012981565594231	1
C0001231	GO_SODIUM_ION_BINDING	0.012981565594231	1
C0001231	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	0.0162031658642042	1
C0001231	GO_CGMP_BINDING	0.0162031658642042	1
C0001231	GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING	0.0169272635775923	1
C0001231	GO_ADRENERGIC_RECEPTOR_BINDING	0.0178104144087815	1
C0001338	GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	0.00346336169173378	0.527029264494601
C0001338	GO_HYALURONIC_ACID_BINDING	0.00813136072509864	0.955944812963836
C0001338	GO_PROTEIN_KINASE_ACTIVITY	0.0113679927218613	1
C0001338	GO_KINASE_ACTIVITY	0.0240611785052069	1
C0001338	GO_SCAVENGER_RECEPTOR_ACTIVITY	0.0258112648702249	1
C0001338	GO_SODIUM_CHANNEL_REGULATOR_ACTIVITY	0.0274043780920234	1
C0001338	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	0.0373741221755397	1
C0001338	GO_DOUBLE_STRANDED_RNA_BINDING	0.0463396931938315	1
C0001338	GO_CARGO_RECEPTOR_ACTIVITY	0.0479025583311736	1
C0001338	GO_PHOSPHOPROTEIN_BINDING	0.0556823621079774	1
