#disease	pathway	Pvalue	adjPvalue
C0000744	GO_LIPID_LOCALIZATION	9.00594560829432e-45	8.12921609045518e-41
C0000744	GO_STEROL_HOMEOSTASIS	7.13029717210716e-40	4.48566654185664e-36
C0000744	GO_STEROL_TRANSPORT	1.95012896224039e-38	1.09764320917992e-34
C0000744	GO_LIPID_HOMEOSTASIS	2.73323588668593e-37	1.38844523557874e-33
C0000744	GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	2.97281861854024e-34	1.20186018905584e-30
C0000744	GO_CHOLESTEROL_EFFLUX	5.8784409174443e-33	2.1403150624973e-29
C0000744	GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	2.85271867440512e-32	9.74952429828837e-29
C0000744	GO_REGULATION_OF_STEROL_TRANSPORT	2.46494308466447e-30	6.98531873606562e-27
C0000744	GO_REVERSE_CHOLESTEROL_TRANSPORT	3.948874005065e-30	1.09209931792113e-26
C0000744	GO_LIPOPROTEIN_METABOLIC_PROCESS	6.76441160485427e-30	1.83370398754261e-26
C0000809	GO_DNA_REPAIR	1.4578397534258e-26	2.89087223229018e-23
C0000809	GO_DNA_METABOLIC_PROCESS	4.05552621869386e-26	7.73018185473833e-23
C0000809	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	2.32042911486726e-23	3.37627094441079e-20
C0000809	GO_DOUBLE_STRAND_BREAK_REPAIR	1.23161773842415e-22	1.65309851264726e-19
C0000809	GO_ORGANELLE_FISSION	8.15819516799038e-22	1.00062878616544e-18
C0000809	GO_DNA_RECOMBINATION	2.33069637528401e-20	2.42899317185463e-17
C0000809	GO_CHROMOSOME_ORGANIZATION	1.5374448474904e-18	1.29033542046074e-15
C0000809	GO_CELL_CYCLE_PROCESS	4.26984236840347e-18	3.38665380680205e-15
C0000809	GO_MEIOTIC_CELL_CYCLE	2.50440262714796e-17	1.81687793232392e-14
C0000809	GO_CELL_CYCLE	3.91461618437285e-17	2.76182121636599e-14
