#disease	pathway	Pvalue	adjPvalue
C0000744	GO_LIPID_LOCALIZATION	3.34946288952971e-43	9.4154948577469e-40
C0000744	GO_STEROL_TRANSPORT	2.02160798836259e-36	3.76156220039896e-33
C0000744	GO_STEROL_HOMEOSTASIS	5.66659581382826e-35	9.52144846564128e-32
C0000744	GO_LIPID_HOMEOSTASIS	2.69528746920889e-31	3.44287016226655e-28
C0000744	GO_CHOLESTEROL_EFFLUX	1.23652381965876e-30	1.49635705867762e-27
C0000744	GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	4.65750868707006e-30	5.37568772700471e-27
C0000744	GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	5.83678799517159e-27	5.2549881258812e-24
C0000744	GO_PHOSPHOLIPID_TRANSPORT	1.71544602387222e-26	1.47764501836416e-23
C0000744	GO_REVERSE_CHOLESTEROL_TRANSPORT	2.0825683837955e-26	1.78176271893128e-23
C0000744	GO_REGULATION_OF_STEROL_TRANSPORT	1.23458277709402e-25	9.87597861482158e-23
C0000809	GO_DNA_REPAIR	7.07405316869858e-48	2.5630842500757e-44
C0000809	GO_DNA_METABOLIC_PROCESS	5.06772896113517e-47	1.75830828620026e-43
C0000809	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	2.02885590490213e-44	6.12712190787896e-41
C0000809	GO_DOUBLE_STRAND_BREAK_REPAIR	1.73964708902514e-38	3.67870431716482e-35
C0000809	GO_DNA_RECOMBINATION	1.6433731033699e-35	2.85064921425135e-32
C0000809	GO_CHROMOSOME_ORGANIZATION	1.11446050183152e-34	1.829470979587e-31
C0000809	GO_CELL_CYCLE	1.62002501911083e-31	2.10953698822281e-28
C0000809	GO_CELL_CYCLE_PROCESS	4.08566102908432e-31	5.12265414721732e-28
C0000809	GO_ORGANELLE_FISSION	1.30603971432568e-30	1.5769105257372e-27
C0000809	GO_CELLULAR_RESPONSE_TO_STRESS	1.04810159681804e-28	1.0939714549376e-25
C0001197	GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	2.19941036287608e-77	2.86311943147898e-73
C0001197	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	2.32608282616542e-75	2.80989754063912e-71
C0001197	GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	1.89955662141627e-69	1.80512923964198e-65
C0001197	GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	1.01047249150591e-67	8.99757950508425e-64
C0001197	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	5.50551013632066e-67	4.75620909454315e-63
C0001197	GO_T_CELL_RECEPTOR_SIGNALING_PATHWAY	6.74534964608916e-67	5.81849030216231e-63
